id,name,host_id,host_profile_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
2836559,Apartment in best location!,7014021,1462721243679940092,Jonathan,Kreis 1,Lindenhof,47.37337875366211,8.540721893310547,Entire home/apt,0,2,84,2026-05-25,0.57,1,176,5,
2869081,Letzigrund Blue 4 Apartment,12886487,1462897903332723581,Stephanies,Kreis 9,Altstetten,47.38644,8.50317,Entire home/apt,,1,20,2026-02-25,0.15,99,181,2,
2869105,Letzigrund Green 4 Apartment,12886487,1462897903332723581,Stephanies,Kreis 9,Altstetten,47.38644,8.50317,Entire home/apt,0,1,15,2025-06-03,0.11,99,346,0,
2869130,Letzigrund Yellow 5 Apartment,12886487,1462897903332723581,Stephanies,Kreis 9,Altstetten,47.38644,8.50317,Entire home/apt,,1,7,2025-12-15,0.05,99,0,1,
2920505,"Studio ""Doerfli 1"" in the heart of Zurich",12886487,1462897903332723581,Stephanies,Kreis 1,Rathaus,47.37505,8.54372,Entire home/apt,,1,34,2026-06-02,0.25,99,337,3,
2920543,"Apartment ""Doerfli 3"" in the Old Town",12886487,1462897903332723581,Stephanies,Kreis 1,Rathaus,47.37505,8.54372,Entire home/apt,,1,50,2026-03-25,0.35,99,319,2,
2920590,ZH Bellevue 3 - HITrental Apartment Zürich,12886487,1462897903332723581,Stephanies,Kreis 8,Mühlebach,47.36427,8.54935,Entire home/apt,0,1,94,2026-06-22,0.67,99,341,13,
2920698,3 room apartment in a historic old town,12886487,1462897903332723581,Stephanies,Kreis 1,Rathaus,47.37468,8.54342,Entire home/apt,,1,231,2026-06-26,1.60,99,324,29,
2920742,Gasse 3 - Charming 1 room apartment,12886487,1462897903332723581,Stephanies,Kreis 1,Rathaus,47.37468,8.54342,Entire home/apt,,1,55,2026-05-31,0.38,99,322,4,
2920780,Hof 2 - Charming 1 room Studio,12886487,1462897903332723581,Stephanies,Kreis 1,Rathaus,47.37468,8.54342,Entire home/apt,,1,49,2025-03-20,0.35,99,346,0,
2920806,Gasse 2 - Charming 1 room apartment,12886487,1462897903332723581,Stephanies,Kreis 1,Rathaus,47.37468,8.54342,Entire home/apt,,1,9,2025-09-22,0.07,99,341,1,
2962635,Hof 3 - Charming 1 room Studio,12886487,1462897903332723581,Stephanies,Kreis 1,Rathaus,47.37468,8.54342,Entire home/apt,0,1,32,2026-06-18,0.23,99,318,3,
2986553,Beautiful flat close to lake and center,15228741,1462957319862375843,Anna,Kreis 7,Hirslanden,47.36080721045092,8.56742346669014,Entire home/apt,,3,50,2025-09-14,0.37,1,0,3,
3209659,"Stadt Zürich, freundliches Zimmer (3)",564859566,1698735279012732542,Apartments Zuerich,Kreis 9,Altstetten,47.3804,8.48076,Private room,0,9,35,2025-12-01,0.27,15,313,2,
3428442,5 min zum Letzigrund Stadion.,17280709,1463006390255353947,Marc,Kreis 9,Altstetten,47.38838158780472,8.480132924710324,Entire home/apt,0,1,1,2024-07-11,0.04,1,90,0,
3470221,"Studio Penthouse Apartment, Kieselgasse",17484617,1463011174324430050,Cristiana,Kreis 8,Mühlebach,47.35697,8.55664,Entire home/apt,0,3,4,2023-12-15,0.03,23,154,0,
3483175,"2-Bedroom Family Apartment, Kieselgasse",17484617,1463011174324430050,Cristiana,Kreis 8,Mühlebach,47.35578,8.5566,Entire home/apt,0,3,28,2022-08-30,0.19,23,171,0,
3487718,"1-Bedroom Apartment, Kieselgasse",17484617,1463011174324430050,Cristiana,Kreis 8,Mühlebach,47.35578,8.55666,Entire home/apt,0,3,12,2025-11-01,0.08,23,168,1,
